Name,Location,Country,Total amount,Total amount €
HYBU CIG CYMRU MEAT PROMOTION WALES,"CEREDIGION, Ceredigion, Wales, GB-SY23",GB,,3847792.8
EMMETT BROS,"MAIDENHEAD, Buckinghamshire, England, GB-SL6 3SU",GB,,3843563.19
Duchy Rural Business School c/o Cornwall College,"Kerrier, Cornwall, England, GB-TR15 3RD",GB,,3776664.84
COMPTON BEAUCHAMP ESTATES LIMITED,"FARINGDON, Oxfordshire, England, GB-SN7 7QL",GB,,3757237.76
Stracathro & Careston Ests Ltd,"Laurencekirk, Aberdeenshire, Scotland, GB-AB30 1QR",GB,,3681781.1
RAMSBURY ESTATES LTD,"MARLBOROUGH, Berkshire, England, GB-SN8 2HA",GB,,3644601.03
NORMAN JACKSON (FARMERS) LIMITED,"North Lincolnshire, Lincolnshire, England, GB-DN15 0AB",GB,,3639624.76
MACFARLANE FARMS LTD,"DUNS, East Lothian, Scotland, GB-TD11 3RS",GB,,3625440.22
North Yorkshire County Council,"Hambleton, North Yorkshire, England, GB-DL7 8AD",GB,,3610668.31
THE MANYDOWN COMPANY LTD,"Basingstoke and Deane, Hampshire, England, GB-RG23 8PE",GB,,3600924.87
ZODIAC FARMS LTD,"WARMINSTER, Somerset, England, GB-BA12 0QD",GB,,3557539.13
G & B DOBSON LTD,"East Lindsey, Lincolnshire, England, GB-LN11 0RY",GB,,3505304.05
Sunwick Farm Ltd,"Paxton, Scottish Borders, Scotland, GB-TD15 1XG",GB,,3488934.0
Wesley Gracey,"Moss-side of Gight, Aberdeenshire, Scotland, GB-AB53 8LY",GB,,3485820.1
Southesk Farms,"Brechin, Aberdeenshire, Scotland, GB-DD9 6UA",GB,,3455786.23
G Mcdougal (Bassendean)Ltd,"Gordon, Scottish Borders, Scotland, GB-TD3 6LU",GB,,3446034.92
Lour Farms,"Ladenford, Angus, Scotland, GB-DD8 2LF",GB,,3438227.48
M/S John Stevenson & Co,"Anstruther, Fife, Scotland, GB-KY10 3LA",GB,,3424254.99
Charles M Kirkpatrick,"Lockerbie, Dumfries and Galloway, Scotland, GB-DG11 2DQ",GB,,3408926.61
Mr R McBride & Son,"Carrutherstown Road, Dumfries and Galloway, Scotland, GB-DG1 4LQ",GB,,3383836.61
Dalmahoy Farms,"Kirknewton, West Lothian, Scotland, GB-EH27 8EB",GB,,3329853.88
THE BELVOIR ESTATE,"GRANTHAM, Lincolnshire, England, GB-NG32 1NN",GB,,3218945.66
Auchtydore Farms,"PETERHEAD, Aberdeenshire, Scotland, GB-AB42 5BB",GB,,3201445.67
Glenmore Properties Ltd,"Craigellachie, Moray, Scotland, GB-AB38 9QT",GB,,3187701.59
M/S A S & H M McGimpsey,"Brydekirk, Dumfries and Galloway, Scotland, GB-DG12 5NQ",GB,,3178941.04
Dunecht Home Farms,"Dunecht, Aberdeen City, Scotland, GB-AB32 7AW",GB,,3150011.57
Waldersey Farms Ltd,"King's Lynn and West Norfolk, Norfolk, England, GB-PE38 0HT",GB,,3148354.14
GROSVENOR FARMS LTD,"CHESTER, Cheshire, England, GB-CH3 6HJ",GB,,3147626.38
Hugh Gordon (A Firm),"Stonehaven, Aberdeenshire, Scotland, GB-AB39 2XY",GB,,3134932.7
DALE FARM LTD,"BELFAST, Down, Northern Ireland, GB-BT3 9LS",GB,,3090420.35
NORTHWAY MUSHROOMS LTD,"DUNGANNON, Dungannon, Northern Ireland, GB-BT71 7EF",GB,,3080794.62
F J BUNNEY & SONS,"WINCHESTER, Hampshire, England, GB-SO21 1HN",GB,,3058414.04
ST GILES FARMS LTD,"WIMBORNE, Dorset, England, GB-BH21 5NA",GB,,3053389.44
