,Product ID,Product Title,Product Description,Donor Partner,Language,Category,Media,Platform,Admin Fee ($),Product URL
20,051791301579,"HP X360 11 G1 EE 11.6"" Touchscreen","Description
This is a discounted, refurbished laptop computer provided by CNB Computers Inc. It includes:
A Pentium N4200 1.1GHz
A minimum of 128GB SSD
A minimum of 8 Go
A Windows 10 Pro operating system
An AC power cord
A one-year refurbisher warranty
Free shipping
All software is preinstalled. See the specifications below for more technical information and for details about warranty and fulfillment.
About CNB Refurbished products
Through TechSoup Canada, CNB Computers offers refurbished hardware to nonprofit organizations. The products provided may have cosmetic defects that do not affect their operability.
Typical cosmetic defects on refurbished hardware may include wear on keyboards and hand-rest areas, minor screen blemishes, and scratches and nicks on the outer case.
Obtaining This Product
Eligible organizations may request as many CNB products as they need. However, each request may include no more than 5 of any individual product. 
TechSoup Canada will send a message to your organization's email address when we approve your request. Please read this message as it contains important time-sensitive information on warranties, troubleshooting, returns, and more. CNB Computers Inc. will ship your equipment via ground within 10 business days after TechSoup Canada approves your request. Within 24 hours of shipping, CNB will send a second email with tracking information. After that, it may take up to 10 business days to receive your equipment.
Please note: CNB cannot deliver to PO Boxes. If the address on your account is a PO Box or cannot receive deliveries from couriers, you must contact us to update your account before placing your order.
Shipping, Warranty, and Returns
CNB Computers Inc. covers this product with a one-year warranty, which includes troubleshooting. The Laptop Battery has 90 days warranty.
The warranty covers major defects in the device and its components and includes technical support. See the CNB FAQ page for information about returns.
Software Included
This computer includes the 64-bit edition of Windows 10 Pro.
Product Specifications
The computer will meet or exceed these specifications:
Display Size: 11.6
Display Resolution:
Processor: Pentium N4200 1.1GHz
RAM: 8 Go
Storage: 128GB SSD
Battery life: 1 hour 30
Webcam: Yes
Optical Drive: N/A
Power cord: Yes
Connectivity: Gigabit Ethernet/802.11a/b/g/n/ac wireless
Interface Ports: 2 x USB 3.1 Gen 1, USB-C, HDMI, LAN, Headphone/microphone combo jack
The official specifications for this computer are available on the HP website.
 ",CNB Computers,,"Hardware, Computers",Hardware,Windows,249.0,https://www.techsoup.ca/content/hp-x360-11-g1-ee-116-touchscreen
21,G-90013,Keela,"Description
Keela is donor management software that allows you to manage donors, mobilize volunteers, market your organization, and raise more funds.
Organizations of any size can use Keela to engage and build meaningful relationships with constituents, save time with automated workflows, and increase capacity. Keela's AI tools provide actionable insights based on your organization's data.",Keela,English,"Finance, Fundraising, Information and Database Management, Constituent/Donor Relationship Management",Subscription,Any Platform,,https://www.techsoup.ca/content/keela
22,051791275870,"Dell Latitude 3380 13.3"" Non Touch (Refurbished)","Description
This is a discounted, refurbished laptop provided by CNB Computers Inc. It includes:
An Intel Core i5-7200 2.5GHz
A minimum of 256GB SSD
A minimum of 16 GB
A Windows 10 Pro Operating System
An AC power cord
A one-year refurbisher warranty
Free Shipping
All software is preinstalled. See the specifications below for more technical information and for details about warranty and fulfillment.
About CNB Refurbished products
The CNB computers offer refurbished hardware to nonprofit organizations. The products provided may have cosmetic defects that do not affect its operability.
Typical cosmetic defects on refurbished hardware may include wear on keyboards and hand-rest areas, minor screen blemishes, and scratches and nicks on the outer case.
Obtaining This Product
TechSoup Canada will send a message to your organization's email address when we approve your request. Please read this message as it contains important time-sensitive information on warranties, troubleshooting, returns, and more.
CNB Computers Inc. will ship your equipment via ground within 10 business days after TechSoup Canada approves your request. Within 24 hours of shipping, CNB will send a second email with tracking information. After that, it may take up to 10 business days to receive your equipment.
Please note: CNB cannot deliver to PO Boxes. If the address on your account is a PO Box or cannot receive deliveries from couriers, you must contact us to update your account before placing your order.
Shipping, Warranty, and Returns
CNB Computers Inc. covers this product with a one-year warranty, which includes troubleshooting. It covers major defects in the device and its components and includes technical support. See the CNB FAQ page for information about returns.
Software Included
This computer includes the 64-bit edition of Windows 10 Pro.
Product Specifications:
The computer will meet or exceed these specifications:
Display Size: 14""
Processor: Intel Core i5-7200 2.5GHz
RAM: 16 GB
Storage: 256GB SSD
Battery life: 1 hour 30
Webcam: Yes
Optical Drive: N/A
Power cord: Yes
Connectivity: Wi-Fi; Integrated Gigabit Ethernet
Interface ports: Ports: (3) USB 3.0, VGA, HDMI, DisplayPort (Type C), RJ-45, headset/mic combo jack
The official specifications for this computer are available on the Dell website.",CNB Computers,,"Hardware, Computers",Hardware,Windows,470.0,https://www.techsoup.ca/content/dell-latitude-3380-133-non-touch-refurbished
23,G-49565,"Tableau Desktop and Tableau Prep Builder, 2-Year Subscription","Description
Tableau Desktop and Tableau Prep Builder are software applications for data preparation, analysis, and visualization. Through a drag-and-drop interface, they allow users to connect to most databases and spreadsheets, create and share interactive visualizations and dashboards, and prepare data for analysis. No programming is necessary.
This donation provides a two-year license for both Tableau Desktop and Tableau Prep Builder for one user. This user may use the software on up to two devices during this time. The product will cease to function entirely after two years unless the subscription is renewed. See the Subscription Details section below for more information.
Benefits for Organizations
You can use Tableau Desktop and Tableau Prep Builder to
Reduce time creating reports
Combine, shape, and clean your data in preparation for analysis
Automate tasks like grouping similar objects, replacing data from other fields, and creating calculations
Provide transparency to donors and funding organizations through interactive visuals that illustrate program progress and impact
Analyze donor trends to be more effective with marketing campaigns and fundraising
Perform rapid and detailed analytics by linking data from multiple sources
Knowledge of data structure is recommended, but not required. If you are comfortable creating spreadsheets, you should be able to learn to use Tableau.
Major Capabilities
Preparing data: Tableau can take data from many sources, combine it together, and create associations between data.
Connection to multiple data sources: Tableau can access data from sources such as Excel files, QuickBooks Online, Salesforce, Access, and SQL databases.
Choice of visualization types: Depending on your selected data, you can display it on a map or as a bar chart, pie chart, heat map, area chart, and more.
Dashboards: You can create dashboards that display several different visualizations at once.
Stories: You can create a sheet that contains a sequence of worksheets and dashboards that work together to convey information. Users click story points in a navigator to proceed through the sequence.
Filtering: You can set up filters on your visualizations so that you can choose to view parts of the data at a time. For example, you might want to view the data for a particular region and income level.
Sharing: You can share Tableau workbooks with other Tableau Desktop users, as static images or PDF files, through the free Tableau Reader, or online with Tableau Public.
You can learn more on Tableau's website, which includes a gallery of example visualizations.
Support
Tableau provides support through an online knowledge base, online training videos, and full access to support staff.
Tableau also offers free consultations to nonprofits through Tableau Service Corps.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Obtaining This Product
When TechSoup Canada approves your donation request, we will send a message to your organization email address with instructions for obtaining and activating this product.",Tableau,"English, French","Information and Database Management, Research and Analysis",Download,"Windows, Mac",101.0,https://www.techsoup.ca/content/tableau-desktop-and-tableau-prep-builder-2-year-subscription
24,G-53172,CloudCare Content Filtering – 1-Year Subscription,"Description
CloudCare Content Filtering is a cloud-based content access regulation service that blocks access to websites that threaten security or productivity.
This offer provides a subscription for use of the product on one device. The subscription includes protection updates and new product features. Please note that this service can't be used with CloudCare Secure Web Gateway simultaneously on the same device. See the Subscription Details section below for more information.
Benefits for Organizations
You can use CloudCare Content Filtering to
Increase productivity by limiting access to social networking, searching, and shopping
Reduce the bandwidth absorbed by personal use
Prevent users from introducing security risks to the network
Major Capabilities
Flexible policies: Set and update content access policies for users in the office, at home, or in the field, and allow access for employees to specific sites.
Site categories: Automatically block sites by category, with more than 60 million sites presorted into subgroups.
Reports: Receive historical reports on user activities, including what sites they visit, at what time, and for how long.
See a complete list of features for CloudCare Content Filtering.
Support
This product includes support and product updates for the duration of your subscription.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Subscription Details
Existing Subscribers You will not be able to convert your existing Avast subscription to the offer from TechSoup Canada. Instead, you will need to cancel your existing Avast subscription and order your license through TechSoup Canada to setup a new Avast account.
Subscription Period
TechSoup Canada will send you reminders before your subscription is set to expire.
If you signed up for automatic payments, your subscription will automatically renew. You will be billed an amount equal to the admin fee to renew.
If you don't want your subscription to renew automatically, you should request to cancel your subscription before the renewal date. Your cancellation will take effect at the end of your current subscription period.
Additional Licenses If you already have an Avast subscription for this product through TechSoup Canada, you can add licenses through this offer. The cost of the additional licenses will be prorated, and your subscription period will not change.
Managing Multiple Organizations If you are an IT consultant who manages security on behalf of multiple organizations, please contact customerservice@techsoup.ca to discuss your needs prior to placing your request.
Additional Information
If you would like more information about this offer, please contact customerservice@techsoup.ca.
Please note that if you have engaged with a sales representative from Avast or an Avast reseller in the past six months, you might not be eligible for this offer.",Avast Business,"English, French","Server & Security Software, Data Security and Privacy, Server and Network Management, Spam and Virus Protection",,,,https://www.techsoup.ca/content/cloudcare-content-filtering-%E2%80%93-1-year-subscription
25,G-53174,CloudCare Patch Management – 1-Year Subscription,"Description
CloudCare Patch Management is a cloud-based software update management service that allows administrators to deploy operating system and application patches to all endpoints on a network.
This offer provides a subscription for use of the product on one device. The subscription includes new product features. See the Subscription Details section below for more information.
Benefits for Organizations
You can use CloudCare Patch Management to fix and prevent vulnerabilities or security gaps in Windows operating systems and other application software.
Major Capabilities
Centralized management: Scan all devices, set schedules, and receive reports from a single dashboard.
Security compliance: Identify and patch outdated or failed-to-install software to ensure organizational and regulatory compliance and to prevent security breaches.
See a complete list of features (PDF) included with CloudCare Patch Management.
Support
This product includes support and product updates for the duration of your subscription.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Subscription Details
Existing Subscribers You will not be able to convert your existing Avast subscription to the offer from TechSoup Canada. Instead, you will need to cancel your existing Avast subscription and order your license through TechSoup Canada to setup a new Avast account.
Subscription Period
TechSoup Canada will send you reminders before your subscription is set to expire.
If you signed up for automatic payments, your subscription will automatically renew. You will be billed an amount equal to the admin fee to renew.
If you don't want your subscription to renew automatically, you should request to cancel your subscription before the renewal date. Your cancellation will take effect at the end of your current subscription period.
Additional Licenses If you already have an Avast subscription for this product through TechSoup Canada, you can add licenses through this offer. The cost of the additional licenses will be prorated, and your subscription period will not change.
Managing Multiple Organizations If you are an IT consultant who manages security on behalf of multiple organizations, please contact customerservice@techsoup.ca to discuss your needs prior to placing your request.
Additional Information
If you would like more information about this offer, please contact customerservice@techsoup.ca.
Please note that if you have engaged with a sales representative from Avast or an Avast reseller in the past six months, you might not be eligible for this offer.",Avast Business,English,"Server & Security Software, Data Security and Privacy, Server and Network Management, Spam and Virus Protection",,,,https://www.techsoup.ca/content/cloudcare-patch-management-%E2%80%93-1-year-subscription
26,G-53175,CloudCare Secure Web Gateway – 1-Year Subscription,"Description
CloudCare Secure Web Gateway is a cloud-based DNS service that blocks access to dangerous websites and files to prevent network attacks or data theft. It protects all devices in or out of the office.
This offer provides a subscription for use of the product on one device or public IP address. The subscription includes protection updates and new product features. Please note that this service can't be used with CloudCare Content Filtering simultaneously on the same device. See the Subscription Details section below for more information.
Benefits for Organizations
You can use CloudCare Secure Web Gateway to
Restrict the content and sites that your employees, volunteers, and guest Wi-Fi users are allowed to access, including known malicious sites and downloads
Enforce web policies for all devices on your network
Reduce the costs and complexity that come with on-premises proxy servers and appliances
Major Capabilities
Endpoint or network security: This product can be deployed to either a Windows endpoint or as a network protection when assigned to a public IP address.
Comprehensive SSL security: Inspect all SSL traffic without latency, additional certificate configuration, or additional hardware or software.
Simplified setup: Deploy and manage the service across multiple locations and set up in minutes, automatically directing devices to the nearest data center for fast connections anywhere in the world.
See a complete list of features included with CloudCare Secure Web Gateway.
Support
This product includes support and product updates for the duration of your subscription.
Choose Carefully
The administrative fee for this product is not refundable, and the product cannot be exchanged.
Subscription Details
Licensing
This license can be deployed as either endpoint or network protection.
If deployed as endpoint protection, one license covers one endpoint.
If deployed as network protection, one license covers 2,000 DNS checks. Avast Business recommends requesting enough licenses to a public IP address depending on the size of the network you need to protect.
Endpoint and network protection licenses can be deployed together.
Existing Subscribers You will not be able to convert your existing Avast subscription to the offer from TechSoup Canada. Instead, you will need to cancel your existing Avast subscription and order your license through TechSoup Canada to setup a new Avast account.
Subscription Period
TechSoup Canada will send you reminders before your subscription is set to expire.
If you signed up for automatic payments, your subscription will automatically renew. You will be billed an amount equal to the admin fee to renew.
If you don't want your subscription to renew automatically, you should request to cancel your subscription before the renewal date. Your cancellation will take effect at the end of your current subscription period.
Additional Licenses If you already have an Avast subscription for this product through TechSoup Canada, you can add licenses through this offer. The cost of the additional licenses will be prorated, and your subscription period will not change.
Managing Multiple Organizations If you are an IT consultant who manages security on behalf of multiple organizations, please contact customerservice@techsoup.ca to discuss your needs prior to placing your request.
Additional Information
If you would like more information about this offer, please contact customerservice@techsoup.ca.
Please note that if you have engaged with a sales representative from Avast or an Avast reseller in the past six months, you might not be eligible for this offer.",Avast Business,English,"Server & Security Software, Data Security and Privacy, Server and Network Management, Spam and Virus Protection",,,,https://www.techsoup.ca/content/cloudcare-secure-web-gateway-%E2%80%93-1-year-subscription
27,HW-57024,Cisco Meraki MR36H Wi-Fi 6 Wireless Access Point with 5-Year License,"Description
Please note that this product is offered through the Cisco donation program.
The MR36H-HW is a Cisco Meraki MR Series cloud-managed wireless access point. This dual-band 802.11ax Wi-Fi 6–compatible access point includes a built-in three-port Gigabit Ethernet switch and is designed for use indoors in high-density environments. The enterprise cloud license provides five years of access to the Meraki cloud platform, product updates, and support.
This donation includes
Meraki MR36H-HW wireless access point with integrated antennas
Five-year enterprise cloud license (LIC-ENT-5YR)
Mounting kit
Benefits for Organizations
If you have network administration experience or hire a consultant, you can use this product to
Create or expand the size of a wireless network
Grant wireless network access to staff and guests
Product Specifications
See the official product specifications for the MR36H-HW at the Meraki website.
Power Requirements
To power this device, you'll need a switch with PoE/PoE+ or a compatible power source.
Obtaining This Product
TechSoup Canada might request additional information to verify that your organization matches the Cisco philanthropy guidelines. You will receive a confirmation email from TechSoup Canada when your request is approved, followed by additional messages with shipping and delivery information. You should receive your product within 26 weeks of the approval date. 
This product cannot be shipped to a PO Box. If your organization's shipping address is a PO Box or is different from its physical location, we will ship your request to your organization's physical address.
Hardware Details
Licensing Requirements
This product includes a cloud license that provides product updates and support for a specified duration. Meraki devices are cloud-managed, so a cloud license is required for each device.
You'll need to obtain new licenses before your old licenses expire to continue using this Meraki product. Discounted licenses for this product might be available through Cisco Meraki for Nonprofits at TechSoup Canada. If you choose not to renew, you will no longer be able to manage this product via the Meraki cloud, and this product will cease to function.
Meraki cloud licenses use a ""co-termination"" licensing model by default, but you can opt in to per-device licensing through the Meraki Dashboard after you set up your account.
Co-termination licensing means that when you request new licenses for your devices, the terms of your new and existing licenses will be averaged together so that all of your licenses will expire on the same date.
Per-device licensing means that each of your products is licensed individually, and the licenses assigned to those products might expire on different dates.
For more information, see the Meraki Licensing FAQ and Meraki Licensing Models page.
Warranty and Support
Meraki covers this product with a lifetime warranty.
Meraki provides enterprise-level support for all products with valid licenses.
Cancellations and Returns
If you need to cancel a request, you must do so no later than 65 days before your estimated delivery date.
Damaged or incorrect products can be exchanged or returned for a refund.
Cisco Meraki generally does not accept returns for other reasons. However, if you have special circumstances that you would like us to review, contact TechSoup Canada within 20 days of receipt of the items.",Cisco,English,,Hardware,Multiple platforms,323.0,https://www.techsoup.ca/content/cisco-meraki-mr36h-wi-fi-6-wireless-access-point-5-year-license
28,HW-57028,Cisco Meraki MR70 a/b/g/n/ac Wireless Access Point with 5-Year License,"Description
Please note that this product is offered through the Cisco donation program.
The MR70-HW is a Cisco Meraki MR Series cloud-managed wireless access point. This dual-band 802.11ac Wave 2 access point is designed for use outdoors or in low-density environments. The enterprise cloud license provides five years of access to the Meraki cloud platform, product updates, and support.
This donation includes
Meraki MR70-HW wireless access point with integrated antennas
Five-year enterprise cloud license (LIC-ENT-5YR)
Mounting kit
Benefits for Organizations
If you have network administration experience or hire a consultant, you can use this product to
Create or expand the size of a wireless network
Grant wireless network access to staff and guests
Product Specifications
See the official product specifications for the MR70-HW at the Meraki website.
Power Requirements
To power this device, you'll need a switch with PoE/PoE+ or a compatible power source.
Obtaining This Product
TechSoup Canada might request additional information to verify that your organization matches the Cisco philanthropy guidelines. You will receive a confirmation email from TechSoup Canada when your request is approved, followed by additional messages with shipping and delivery information. You should receive your product within 26 weeks of the approval date. 
This product cannot be shipped to a PO Box. If your organization's shipping address is a PO Box or is different from its physical location, we will ship your request to your organization's physical address.
Hardware Details
Licensing Requirements
This product includes a cloud license that provides product updates and support for a specified duration. Meraki devices are cloud-managed, so a cloud license is required for each device.
You'll need to obtain new licenses before your old licenses expire to continue using this Meraki product. Discounted licenses for this product might be available through Cisco Meraki for Nonprofits at TechSoup Canada. If you choose not to renew, you will no longer be able to manage this product via the Meraki cloud, and this product will cease to function.
Meraki cloud licenses use a ""co-termination"" licensing model by default, but you can opt in to per-device licensing through the Meraki Dashboard after you set up your account.
Co-termination licensing means that when you request new licenses for your devices, the terms of your new and existing licenses will be averaged together so that all of your licenses will expire on the same date.
Per-device licensing means that each of your products is licensed individually, and the licenses assigned to those products might expire on different dates.
For more information, see the Meraki Licensing FAQ and Meraki Licensing Models page.
Warranty and Support
Meraki covers this product with a lifetime warranty.
Meraki provides enterprise-level support for all products with valid licenses.
Cancellations and Returns
If you need to cancel a request, you must do so no later than 65 days before your estimated delivery date.
Damaged or incorrect products can be exchanged or returned for a refund.
Cisco Meraki generally does not accept returns for other reasons. However, if you have special circumstances that you would like us to review, contact TechSoup Canada within 20 days of receipt of the items.",Cisco,English,,Hardware,Multiple platforms,401.0,https://www.techsoup.ca/content/cisco-meraki-mr70-abgnac-wireless-access-point-5-year-license
29,HW-57029,Cisco Meraki MS120 Series 8-Port Gigabit Ethernet Switch with 5-Year License,"Description
Please note that this product is offered through the Cisco donation program.
The MS120-8-HW is a Cisco Meraki MS120 Series cloud-managed layer 2 access switch. It provides 8 10/100/1000-Mbps ports and and 2 Gigabit Ethernet SFP uplinks for midsize and branch office networks. The enterprise cloud license provides five years of access to the Meraki cloud platform, product updates, and support.
This donation includes
Meraki MS120-8-HW switch
Five-year enterprise cloud license (LIC-MS120-8-5YR)
Power cord
Mounting kit
Benefits for Organizations
If you have networking experience or access to a consultant, you can use this switch to extend an existing network, bringing wired connectivity to more employees and supporting new wireless deployments.
Product Specifications
See the official product specifications for the MS120-8-HW at the Meraki website.
Obtaining This Product
TechSoup Canada might request additional information to verify that your organization matches the Cisco philanthropy guidelines. You will receive a confirmation email from TechSoup Canada when your request is approved, followed by additional messages with shipping and delivery information. You should receive your product within 26 weeks of the approval date.
This product cannot be shipped to a PO Box. If your organization's shipping address is a PO Box or is different from its physical location, we will ship your request to your organization's physical address.
Hardware Details
Licensing Requirements
This product includes a cloud license that provides product updates and support for a specified duration. Meraki devices are cloud-managed, so a cloud license is required for each device.
You'll need to obtain new licenses before your old licenses expire to continue using this Meraki product. Discounted licenses for this product might be available through Cisco Meraki for Nonprofits at TechSoup Canada. If you choose not to renew, you will no longer be able to manage this product via the Meraki cloud, and this product will cease to function.
Meraki cloud licenses use a ""co-termination"" licensing model by default, but you can opt in to per-device licensing through the Meraki Dashboard after you set up your account.
Co-termination licensing means that when you request new licenses for your devices, the terms of your new and existing licenses will be averaged together so that all of your licenses will expire on the same date.
Per-device licensing means that each of your products is licensed individually, and the licenses assigned to those products might expire on different dates.
For more information, see the Meraki Licensing FAQ and Meraki Licensing Models page.
Warranty and Support
Meraki covers this product with a lifetime warranty.
Meraki provides enterprise-level support for all products with valid licenses.
Cancellations and Returns
If you need to cancel a request, you must do so no later than 65 days before your estimated delivery date.
Damaged or incorrect products can be exchanged or returned for a refund.
Cisco Meraki generally does not accept returns for other reasons. However, if you have special circumstances that you would like us to review, contact TechSoup Canada within 20 days of receipt of the items.",Cisco,English,,Hardware,Multiple platforms,243.0,https://www.techsoup.ca/content/cisco-meraki-ms120-series-8-port-gigabit-ethernet-switch-5-year-license
30,HW-57021,Cisco Meraki MX67 Security Appliance with 5-Year License,"Description
Please note that this product is offered through the Cisco donation program.
The MX67-HW is a Cisco Meraki MX Series cloud-managed security appliance. It provides firewall, VPN, and other security and networking services for small and medium-sized organizations. The advanced security cloud license provides five years of access to the Meraki cloud platform, feature updates, and support.
This donation includes
Meraki MX67-HW security appliance
Five-year advanced security cloud license (LIC-MX67-SEC-5YR)
AC power adapter and power cord
Cat 5 Ethernet cable
Mounting kit
Benefits for Organizations
If you have advanced networking experience or access to a consultant, you can use this security appliance to
Proactively protect your organization against Internet threats
Allow employees to use their own mobile devices to securely access your network by enabling ""bring your own device"" (BYOD) policies
Reduce travel by supporting remote workers or branch connections with VPN connections
Enforce differentiated security policies based on the user, device, role, and application type
Product Specifications
See the official product specifications for the MX67-HW at the Meraki website.
Obtaining This Product
TechSoup Canada might request additional information to verify that your organization matches the Cisco philanthropy guidelines. You will receive a confirmation email from TechSoup Canada when your request is approved, followed by additional messages with shipping and delivery information. You should receive your product within 26 weeks of the approval date. 
This product cannot be shipped to a PO Box. If your organization's shipping address is a PO Box or is different from its physical location, we will ship your request to your organization's physical address.
Hardware Details
Licensing Requirements
This product includes a cloud license that provides product updates and support for a specified duration. Meraki devices are cloud-managed, so a cloud license is required for each device.
You'll need to obtain new licenses before your old licenses expire to continue using this Meraki product. Discounted licenses for this product might be available through Cisco Meraki for Nonprofits at TechSoup Canada. If you choose not to renew, you will no longer be able to manage this product via the Meraki cloud, and this product will cease to function.
Meraki cloud licenses use a ""co-termination"" licensing model by default, but you can opt in to per-device licensing through the Meraki Dashboard after you set up your account.
Co-termination licensing means that when you request new licenses for your devices, the terms of your new and existing licenses will be averaged together so that all of your licenses will expire on the same date.
Per-device licensing means that each of your products is licensed individually, and the licenses assigned to those products might expire on different dates.
For more information, see the Meraki Licensing FAQ and Meraki Licensing Models page.
Warranty and Support
Meraki covers this product with a lifetime warranty.
Meraki provides enterprise-level support for all products with valid licenses.
Cancellations and Returns
If you need to cancel a request, you must do so no later than 65 days before your estimated delivery date.
Damaged or incorrect products can be exchanged or returned for a refund.
Cisco Meraki generally does not accept returns for other reasons. However, if you have special circumstances that you would like us to review, contact TechSoup Canada within 20 days of receipt of the items.",Cisco,English,,Hardware,Multiple platforms,686.0,https://www.techsoup.ca/content/cisco-meraki-mx67-security-appliance-5-year-license
31,HW-57027,Cisco Meraki MX67W Wireless Security Appliance with 5-Year License,"Description
Please note that this product is offered through the Cisco donation program.
The MX67W-HW is a Cisco Meraki MX Series cloud-managed wireless security appliance. It provides dual-band 802.11a/b/g/n/ac wireless connectivity, firewall, VPN, and other security and networking services for small and medium-sized organizations. The advanced security cloud license provides five years of access to the Meraki cloud platform, feature updates, and support.
This donation includes
Meraki MX67W-HW wireless security appliance
Five-year advanced security cloud license (LIC-MX67W-SEC-5YR)
Two external dual-band dipole antennas
AC power adapter and power cord
Cat 5 Ethernet cable
Mounting kit
Benefits for Organizations
If you have advanced networking experience or access to a consultant, you can use this security appliance to
Proactively protect your organization against Internet threats
Allow employees to use their own mobile devices to securely access your network by enabling ""bring your own device"" (BYOD) policies
Reduce travel by supporting remote workers or branch connections with VPN connections
Enforce differentiated security policies based on the user, device, role, and application type
Create or expand the size of a wireless network
Product Specifications
See the official product specifications for the MX67W-HW at the Meraki website.
Obtaining This Product
TechSoup Canada might request additional information to verify that your organization matches the Cisco philanthropy guidelines. You will receive a confirmation email from TechSoup Canada when your request is approved, followed by additional messages with shipping and delivery information. You should receive your product within 26 weeks of the approval date. 
This product cannot be shipped to a PO Box. If your organization's shipping address is a PO Box or is different from its physical location, we will ship your request to your organization's physical address.
Hardware Details
Licensing Requirements
This product includes a cloud license that provides product updates and support for a specified duration. Meraki devices are cloud-managed, so a cloud license is required for each device.
You'll need to obtain new licenses before your old licenses expire to continue using this Meraki product. Discounted licenses for this product might be available through Cisco Meraki for Nonprofits at TechSoup Canada. If you choose not to renew, you will no longer be able to manage this product via the Meraki cloud, and this product will cease to function.
Meraki cloud licenses use a ""co-termination"" licensing model by default, but you can opt in to per-device licensing through the Meraki Dashboard after you set up your account.
Co-termination licensing means that when you request new licenses for your devices, the terms of your new and existing licenses will be averaged together so that all of your licenses will expire on the same date.
Per-device licensing means that each of your products is licensed individually, and the licenses assigned to those products might expire on different dates.
For more information, see the Meraki Licensing FAQ and Meraki Licensing Models page.
Warranty and Support
Meraki covers this product with a lifetime warranty.
Meraki provides enterprise-level support for all products with valid licenses.
Cancellations and Returns
If you need to cancel a request, you must do so no later than 65 days before your estimated delivery date.
Damaged or incorrect products can be exchanged or returned for a refund.
Cisco Meraki generally does not accept returns for other reasons. However, if you have special circumstances that you would like us to review, contact TechSoup Canada within 20 days of receipt of the items.",Cisco,English,,Hardware,Multiple platforms,820.0,https://www.techsoup.ca/content/cisco-meraki-mx67w-wireless-security-appliance-5-year-license
32,G-54975,Cisco AnyConnect Apex SSL VPN 5-Year Subscription Licenses for 25 Users,"Description
The L-AC-APX-LIC= / L-AC-APX-5Y-S1 is an AnyConnect Apex SSL VPN subscription license for Cisco ASA 5500 or 5500-X Series security appliances.
This donation provides an AnyConnect Apex license for 25 users that can be applied to a single security appliance. The license lasts five years. This license pack does not increase the maximum number of concurrent VPN sessions a security appliance supports.
You can request a maximum quantity of three of this product in a single request to license up to 75 users. If you need more than 75 users, request this related product.
Benefits for Organizations
If you have an applicable security appliance, you can use this license upgrade to
Reduce travel by extending network resources to virtually any remote user with access to the Internet and a web browser
Maintain security by customizing access for individuals in your organization's network according to their roles, such as teleworkers, contractors, and partners
More information about this product (PDF) is available on the Cisco website.
Support
Cisco will provide five years of hardware and software service and support (""SMARTnet"") for this product.",Cisco,English,Networking Equipment,License only,Multiple platforms,192.0,https://www.techsoup.ca/content/cisco-anyconnect-apex-ssl-vpn-5-year-subscription-licenses-25-users
33,HW-57020,Cisco Meraki MR36 Wi-Fi 6 Wireless Access Point with 5-Year License,"Description
Please note that this product is offered through the Cisco donation program.
The MR36-HW is a Cisco Meraki MR Series cloud-managed wireless access point. This dual-band 802.11ax Wi-Fi 6–compatible access point is designed for use indoors in high-density environments. The enterprise cloud license provides five years of access to the Meraki cloud platform, product updates, and support.
This donation includes
Meraki MR36-HW wireless access point with integrated antennas
Five-year enterprise cloud license (LIC-ENT-5YR)
Mounting kit
Benefits for Organizations
If you have network administration experience or hire a consultant, you can use this product to
Create or expand the size of a wireless network
Grant wireless network access to staff and guests
Product Specifications
See the official product specifications for the MR36-HW at the Meraki website.
Power Requirements
To power this device, you'll need a switch with PoE/PoE+ or a compatible power source.
Obtaining This Product
TechSoup Canada might request additional information to verify that your organization matches the Cisco philanthropy guidelines. You will receive a confirmation email from TechSoup Canada when your request is approved, followed by additional messages with shipping and delivery information. You should receive your product within 26 weeks of the approval date.
This product cannot be shipped to a PO Box. If your organization's shipping address is a PO Box or is different from its physical location, we will ship your request to your organization's physical address.
Hardware Details
Licensing Requirements
This product includes a cloud license that provides product updates and support for a specified duration. Meraki devices are cloud-managed, so a cloud license is required for each device.
You'll need to obtain new licenses before your old licenses expire to continue using this Meraki product. Discounted licenses for this product might be available through Cisco Meraki for Nonprofits at TechSoup Canada. If you choose not to renew, you will no longer be able to manage this product via the Meraki cloud, and this product will cease to function.
Meraki cloud licenses use a ""co-termination"" licensing model by default, but you can opt in to per-device licensing through the Meraki Dashboard after you set up your account.
Co-termination licensing means that when you request new licenses for your devices, the terms of your new and existing licenses will be averaged together so that all of your licenses will expire on the same date.
Per-device licensing means that each of your products is licensed individually, and the licenses assigned to those products might expire on different dates.
For more information, see the Meraki Licensing FAQ and Meraki Licensing Models page.
Warranty and Support
Meraki covers this product with a lifetime warranty.
Meraki provides enterprise-level support for all products with valid licenses.
Cancellations and Returns
If you need to cancel a request, you must do so no later than 65 days before your estimated delivery date.
Damaged or incorrect products can be exchanged or returned for a refund.
Cisco Meraki generally does not accept returns for other reasons. However, if you have special circumstances that you would like us to review, contact TechSoup Canada within 20 days of receipt of the items.",Cisco,English,,Hardware,Multiple platforms,323.0,https://www.techsoup.ca/content/cisco-meraki-mr36-wi-fi-6-wireless-access-point-5-year-license
