رمز فئة المنتج,اسم المصنع,العنوان,رقم التواصل,البريد الإلكتروني
18567011,مصنع درفات لإنتاج المنتجات المعدنيةوالألومنيوم,7925، الملك فهد، مكة 24346 367,125503008,D.Gm@maidat.com.sa
18567011,مصنع بيت الابنوس للتصنيع,"Unnamed Road, المشاعل، الرياض ",0,majid202@hotmail.com
18567011,مصنع ميلانو الدولية للمطابخ,2925 طريق الملك عبدالعزيز، الر,383781007,vip90267@yahoo.com
18567011,شركة مصنع عطية للصناعات المعدنية,جدة - الخمرة-مستودعات الغرفه التجارية,126877008,a.alsairi@attiehgroup.com
18567011,مصنع جنيفا للصناعة,4347 خالد بن الوليد، الطائف 26,0,abd1000hm@gmail.com
18567011,مصنع رآك السعودية الصناعية,السلي  شارع اسطنبول صناعيه سما,114556008,al-motradef@hotmail.com
18567011,فرع مصنع شركة معن حمد الجاسر وشركاءه للخزائن الخشبية,Unnamed Road 15312، السعودية,112695008,admin.info1@aljasser-group.net
18567011,مصنع عجب محمد العتيبي للمنتجات المعدنية,الرياض المناخ شارع بركاء ,503537008,alhobail55@hotmail.com
18567011,شركة مصنع محمد عبدالرحمن العريني للمشغولات المعدنية,الرياض -السلي ,270111006,zbadi2009@hotmail.com
18567011,مصنع زهران لفنون الاخشاب للصناعة,"Unnamed Road, جدة 22764، السعو",266902007,meshary@zazahran.com
18567011,مصنع السواد للتصنيع,3617، الرابية، الدمام 32437 63,0,null
18567011,شركة مصنع الجودة للأعمال الخشبية,الرياض صناعية المناخ  طريق الخرج ,419551006,fares.abk@gmail.com
18567011,مصنع هاشم محمد العيدروس للألمنيوم والخشب,مكة المكرمة /  طريق مكة - جدة السريع ,253345007,hassanahmad70@gmail.com
18567011,مصنع صالح وحمد الراجحي للمفروشات المعدنية والألمنيوم,7578، المدينة الصناعية الجديدة,498132006,sh.alrajhi@yahoo.com
18567011,مصنع التقنية الحديث للصناعات المعدنية,2425، الصناعية، الدمام 32446 8,138225008,ibrahem.do@almoosa.sa
18567011,مصنع عتيق احمد قريشى لآعمال الديكورات الخشبية,"Unnamed Road, جدة 22754، السعو",122891008,attique.kra@gmail.com
18567011,مصنع فهد محمد الشاعر للاعمال الحديدية والمعدنية للصناعة,2918 عندل، الصناعية القديمة، ا,448376006,null
18567011,مصنع نجلاء علي لسلوم للألمنيوم,نجران - الضيقة - سابونا,54539006,taibacontracit@gmail.com
18567011,مصنع عبدالعزيز سليمان النويصر للصناعات المعدنية,الرياض حي الصناعية القديمة شارع الامير سلمان ,499491006,ahmedmezo2001@yahoo.com
18567011,شركة الرياض للصناعات المعدنية,4592، المدينة الصناعية الجديدة,498071006,amer@rico-sa.com
18567011,الشركة العالمية للأثاث والمستلزمات الطبية,4653، المدينة الصناعية الجديدة,568201008,abdulrahmanbanafae@gmail.com
18567011,مصنع التاج الساطع للصناعات المعدنية,6402 خيبر، السلي، الرياض 14264,471383006,null
18567011,مصنع المواكبة للأثاث و الصناعات الخشبية المحدودة,null,609222006,s.a.amoudi@woodroc.com
18567011,مصنع شركة المناشي للأبواب الحديدية و الخشبية,الرياض,122225007,khalil@almanashy.com
18567011,مصنع نمر العرب للاثاث المعدني وتشكيل المعادن,3983 جبل الجزيرة، بدر، الرياض ,430711006,n_alotypy@yahoo.com
18567011,شركة روائع الأثاث للديكور,"Unnamed Road, جدة 22764، 22764",0,null
18567011,مصنع العنود عبدالعزيز المعيذر للأثاث المعدني,الخرج الصناعية الجديده,11549008,mohamedelwekil606@yahoo.com
18567011,مصنع أمانت علي غلام للأثاث المعدني,طريق الرياض الخرج,15459007,amanat_factory@yahoo.com
18567010,شركة مصنع الرياض للأثاث,الرياض,114981008,info@athath.com
18567010,مصنع متانه الصناعة للاثاث,4530، السعادة، الخرج 16443 945,449522006,matinh15@hotmail.com
18567010,مصنع شركة الفلك المتحدة لاعمال الديكور,"Unnamed Road, جدة 22754، السعو",682368006,abdullahmushabab@alsaad.com.sa
18567010,فرع مصنع خلدون للأثاث المعدني,7177، المدينة الصناعية الجديدة,49813006,null
18567010,المصنع العربي للمفروشات,الرياض - الصناعية الاولى,448448006,null
18567010,فرع مصنع الجديد العالمي,المدينة الصناعية بالدمام,138152008,arbab666@yahoo.com
18567010,مصنع الديار العالمية للأثاث,7429 المنصورية، المصانع، الريا,14388007,aldiar2011@yahoo.com
18567010,شركة ستيلكيس الجريسي المحدودة,4273، المدينة الصناعية الجديدة,265003006,msaadi@steelcasejeraisy.com
18567010,شركة تجهيز الوطنية,"Unnamed Road, الرياض 14327، ال",0,gm@fee.com.sa
18567010,مصنع محمد هباس المطيري للاثاث والستائر,"4946, المدينة الصناعية الثانية",381218007,mhm@thegallery.com.sa
18567010,مصنع نمر العرب للاثاث المعدني وتشكيل المعادن,3983 جبل الجزيرة، بدر، الرياض ,430711006,n_alotypy@yahoo.com
18567010,مصنع دنيا الابواب للمصنوعات الخشبية,الرياض السلي شارع عبدالرحمن بن اسماعيل,24412006,a920022221@yahoo.com
18567010,مصنع لؤلؤة أفنان للحدادة والألمنيوم,3801، الخضرية، الدمام 32435 73,838265006,laf_ksa@yahoo.com
18567010,مصنع دار الأثاث الخشبي والمعدني لصاحبة محمد راشد محمد الهويمل,8387، السلي، الرياض 14273 2704,147137007,m.m.mehrez@gmail.com
18567010,مصنع سبأ للديكور,شارع 3، التعاون، الخبر 34644، ,138029008,sabadecorationfactory@hotmail.com
18567010,شركة مدينة الاصاله للتطوير الصناعي,المدينة الصناعية الجديدة,0,null
18567010,مصنع شركة بيت التجهيزات للمطابخ و الأثاث,الرياض - شارع اسطنبول - صانعية ريماس,0,---
18567010,مصنع خالد حسين مهرالدين للاثاث الخشبي,null,0,null
18567010,مصنع رائد النجاح لانتاج الاثاث المكتبي والمدرسي,شارع 73، المدينة الصناعية بالخ,114533008,islama873@yahoo.com
18567010,شركة مصنع محمد البسام وشركاه لصناعة الأثاث,7505، المناخ، الرياض 14316 240,112912008,albassamfactory@hotmail.com
18567010,مصنع عبدالله محمد الحديثي للأثاث الخشبي,4716، المدينة الصناعية الجديدة,112653008,Hossams@alhudaithifurniture.com
18567010,مصنع خلدون للأثاث المعدني,7263، المدينة الصناعية الجديدة,114981008,ahmed.ali@khaldon.com.sa
18567010,مصنع عتيق احمد قريشى لآعمال الديكورات الخشبية,"Unnamed Road, جدة 22754، السعو",122891008,attique.kra@gmail.com
18567010,شركة مصنع محمد زيد القناص وشريكه للاثاث المعدني المحدودة,null,0,alqannashadeed@yahoo.com
18567010,شركة بكر محمد محمود لزخرفة المعادن,Unnamed Road السعودية,423461006,null
18567010,شركة بيت التجهيزات العصري للصناعه,2433 ايوب بن اسحاق، الصناعية ا,114489008,waleed@mf-factory.com
18567010,مصنع جازاء حمد الدوسري للأثاث الخشبي,الخرج,551091006,eaaa20_30@yahoo.com
18567010,مصنع الجريسي للاثاث,9533، المدينة الصناعية الجديدة,498422006,mabdelrahman@jgroup.com.sa
18567009,مصنع علي سعيد العوبثاني للاثاث,الرياض,0, 
18567009,مصنع نمر العرب للاثاث المعدني وتشكيل المعادن,3983 جبل الجزيرة، بدر، الرياض ,430711006,n_alotypy@yahoo.com
18567009,شركة مصنع محمد زيد القناص وشريكه للاثاث المعدني المحدودة,null,0,alqannashadeed@yahoo.com
18567009,مصنع العمران للمطابخ المعدنية,"Unnamed Road, هيت، الرياض 1435",810562006,info@alomranco.com
18567009,مصنع خالد حسين مهرالدين للاثاث الخشبي,null,0,null
18567009,مصنع الهرم الثلاثي للاعمال المعدنية,3820، السلي، الرياض 14322 8221,114109008,mohammed@tpmf.com.sa
18567009,مصنع محمد مقيم سيد علي للأعمال الحديديه,Unnamed Road السعودية,0,mohammed_mukim@yahoo.com
18567009,شركة ستيلكيس الجريسي المحدودة,4273، المدينة الصناعية الجديدة,265003006,msaadi@steelcasejeraisy.com
18567009,مصنع العنود عبدالعزيز المعيذر للأثاث المعدني,الخرج الصناعية الجديده,11549008,mohamedelwekil606@yahoo.com
18567009,شركة ديرتي للصناعة شركة شخص واحد,"Unnamed Road, جدة 22754، السعو",602211006,Diratygroup@live.com
18567009,مصنع متانه الصناعة للاثاث,4530، السعادة، الخرج 16443 945,449522006,matinh15@hotmail.com
18567009,مصنع دار الأثاث الخشبي والمعدني لصاحبة محمد راشد محمد الهويمل,8387، السلي، الرياض 14273 2704,147137007,m.m.mehrez@gmail.com
18567008,شركة مصنع الرياض للأثاث,الرياض,114981008,info@athath.com
18567008,مصنع الصناعات المعمارية العالمية للصناعة,الدمام,138356008,abazar@gaico-sa.com
18567008,مصنع نقطة القمة للقواطع والديكور,"الشفا , منطقة بدر الصناعية , شارع وادي نخب",0,null
18567008,مصنع مؤسسة حسين عبدالرحمن السماعيل لانظمة المكاتب,3751، المدينة الصناعية الأولى،,847242006,hisham@alismail.com
18567008,شركة مصنع نظم وتقنيات الالمنيوم,محافظة حريملاء- صناعية القرينة,112429008,eyad@alutechs.com
18567008,مصنع فن المكاتب للأثاث الخشبي والمعدني,8669 الحمراء، السلي، الرياض 14,114765008,nnn_1190@hotmail.com
18567008,مصنع خطوط الأثاث للصناعة,6833 الاحساء، المدينة الصناعية,841501006,adel@abahosain.com
18567008,مصنع كراسينا للأثاث,الرياض - صناعية الفوازن,0,karasenafactory-k.s.a@hotmail.com
18567008,مصنع لمار للصناعات الخشبية,الرياض الصناعية الثالثة مقابل شركة اي بي بي من جهة الشمال,920006008,naif.al-subaei@alfanar.com.com
18567007,مصنع جاما للصناعات المعدنيه,6296، النور، الرياض 14321 4097,112429008,Jamal.alwhaidi@gmail.com
18567007,مصنع عتيق احمد قريشى لآعمال الديكورات الخشبية,"Unnamed Road, جدة 22754، السعو",122891008,attique.kra@gmail.com
18567007,شركة مصنع ورثة زكرياعبدالخالق الجاروشة للأثاث الخشبي,المدينة الصناعية الأولى / المرحلة الخامسة / مصنع 148,608067006,musa@gmail.com
18567007,مصنع التاج الساطع للصناعات المعدنية,6402 خيبر، السلي، الرياض 14264,471383006,null
18567007,شركة ستيلكيس الجريسي المحدودة,4273، المدينة الصناعية الجديدة,265003006,msaadi@steelcasejeraisy.com
18567007,الشركة العالمية للأثاث والمستلزمات الطبية,4653، المدينة الصناعية الجديدة,568201008,abdulrahmanbanafae@gmail.com
18567007,مصنع بيت الابنوس للتصنيع,"Unnamed Road, المشاعل، الرياض ",0,majid202@hotmail.com
18567007,شركة الاش الدولية,جدة - شارع الملك فيصل - حي الخمرة -مستودعات الغرفة التجارية الاولى ,613617006,null
18567007,مصنع فهد محمد الشاعر للاعمال الحديدية والمعدنية للصناعة,2918 عندل، الصناعية القديمة، ا,448376006,null
18567007,مصنع العنود عبدالعزيز المعيذر للأثاث المعدني,الخرج الصناعية الجديده,11549008,mohamedelwekil606@yahoo.com
18567007,شركة الخزائن الذكية للصناعة,3356، نخب، الطائف 26516 7915، ,0,maeenalkhair700@gmail.com
18567007,المصنع الالى للالمنيوم للصناعة,7081 محمد بن حبيش، الدفاع، الر,149945007,HAMOUDAH@MSN.COM
18567007,مصنع المواكبة للأثاث و الصناعات الخشبية المحدودة,null,609222006,s.a.amoudi@woodroc.com
18567007,مصنع شركة الرياض للصناعات المعدنية,8134، المدينة الصناعية الجديدة,114981008,mbahri@rico-sa.com
18567007,مصنع التقنية الحديث للصناعات المعدنية,2425، الصناعية، الدمام 32446 8,138225008,ibrahem.do@almoosa.sa
18567007,مصنع صالح وحمد الراجحي للمفروشات المعدنية والألمنيوم,7578، المدينة الصناعية الجديدة,498132006,sh.alrajhi@yahoo.com
18567007,شركة مصنع محمد البسام وشركاه لصناعة الاثاث,7505، المناخ، الرياض 14316 240,112912008,albassamfactory@hotmail.com
18567007,شركة مصنع عطية للصناعات المعدنية,جدة - الخمرة-مستودعات الغرفه التجارية,126877008,a.alsairi@attiehgroup.com
18567007,مصنع زهران لفنون الاخشاب للصناعة,"Unnamed Road, جدة 22764، السعو",266902007,meshary@zazahran.com
18567007,مصنع دار الأثاث الخشبي والمعدني لصاحبة محمد راشد محمد الهويمل,8387، السلي، الرياض 14273 2704,147137007,m.m.mehrez@gmail.com
18567007,مصنع نجلاء علي لسلوم للألمنيوم,نجران - الضيقة - سابونا,54539006,taibacontracit@gmail.com
18567007,مصنع أمانت علي غلام للأثاث المعدني,طريق الرياض الخرج,15459007,amanat_factory@yahoo.com
18567007,شركة مصنع الجودة للأعمال الخشبية,الرياض صناعية المناخ  طريق الخرج ,419551006,fares.abk@gmail.com
18567007,مصنع نمر العرب للاثاث المعدني وتشكيل المعادن,3983 جبل الجزيرة، بدر، الرياض ,430711006,n_alotypy@yahoo.com
18567007,مصنع رآك السعودية الصناعية,السلي  شارع اسطنبول صناعيه سما,114556008,al-motradef@hotmail.com
18567007,شركة روائع الأثاث للديكور,"Unnamed Road, جدة 22764، 22764",0,null
18567007,مصنع اتمتة للصناعة,الشارع الأول، المدينة الصناعية الثانية - جدة - المملكة العربية السعودية,126141008,Fahad@atmata.sa
18567007,مصنع هاشم محمد العيدروس للألمنيوم والخشب,مكة المكرمة /  طريق مكة - جدة السريع ,253345007,hassanahmad70@gmail.com
18567007,مصنع تاج الأريكة للأثاث المعدني,الرياض حي الشفاء ,114056008,rakan2000@hotmail.com
18567007,مصنع قناديل للاثاث,7782، أبها 62529 5109، السعودي,172264008,alasmi1426@hotmail.com
18567007,شركة مصنع محمد زيد القناص وشريكه للاثاث المعدني المحدودة,null,0,alqannashadeed@yahoo.com
18567007,مصنع حلول المطابخ والخزائن,7609، مدينة العيون، الهفوف وال,5816006,zina.decor@yahoo.com
18567007,مصنع معتصم الداعور للصناعات المعدنية,4256، المدينة الصناعية الجديدة,120062007,abdullah.almalki@sa.betait.net
18567007,فرع مصنع شركة معن حمد الجاسر وشركاءه للخزائن الخشبية,Unnamed Road 15312، السعودية,112695008,admin.info1@aljasser-group.net
18567007,مصنع ميلانو الدولية للمطابخ,2925 طريق الملك عبدالعزيز، الر,383781007,vip90267@yahoo.com
18567007,شركة مصنع الوطن المحدودة,الرياض / المنطقة الصناعية الاولى بالرياض / قرب الميناء الجاف,448007006,maher_salem1963@hotmail.com
18567007,مصنع عجب محمد العتيبي للمنتجات المعدنية,الرياض المناخ شارع بركاء ,503537008,alhobail55@hotmail.com
18567007,مصنع درفات لإنتاج المنتجات المعدنيةوالألومنيوم,7925، الملك فهد، مكة 24346 367,125503008,D.Gm@maidat.com.sa
18567007,شركة الرياض للصناعات المعدنية,4592، المدينة الصناعية الجديدة,498071006,amer@rico-sa.com
18567007,مصنع البلاد للصناعات المعدنية,الرياض,214999006,jadeed@mig.sa.com
18567007,مصنع السواد للتصنيع,3617، الرابية، الدمام 32437 63,0,null
18567007,شركة محمود يوسف عضاضة وعصام قباني وشركاهما المحدودة,"9417, البحيرات، مكة 24227، الس",555509008,a.hussein@adada-kabbani.com
18567007,مصنع رسيما للصناعات الحديدية,الرياض,423543006,ahmadmezo2001@yahoo.com
18567007,مصنع جنيفا للصناعة,4347 خالد بن الوليد، الطائف 26,0,abd1000hm@gmail.com
18567007,مصنع عبدالعزيز سليمان النويصر للصناعات المعدنية,الرياض حي الصناعية القديمة شارع الامير سلمان ,499491006,ahmedmezo2001@yahoo.com
18567007,شركة مصنع فادن للمنتجات الخشبية المحدودة,8289، المدينة الصناعية الجديدة,0,somebody@mail.com
18567007,مصنع شركة المناشي للأبواب الحديدية و الخشبية,الرياض,122225007,khalil@almanashy.com
18567006,مصنع نوير عويض المطيري للأسفنج,3358 بسر بن الحضرمي، بدر، الري,114234008,saad2620@yahoo.com
18567006,الشركة السعودية لصناعة البياضات,"Unnamed Road, الحائر، الرياض 1",498298006,null
18567006,مصنع محمد مناف عبدالستار للبوليستر واللحف والمخدات,"Unnamed Road, جدة 22754، السعو",126175008,manaf@manaffactory.com
18567006,شركة مصنع توفيق الخير المحدودة,4013، حي السروات، جدة 22527 70,289085006,tkfcjeddah@gmail.com
